id,lat,lon
359,33.58315323,-107.3196962
360,33.65489609,-106.6423134
361,33.72223976,-105.9636375
362,33.78517014,-105.2837472
363,33.84367407,-104.6027221
364,33.89773927,-103.9206427
365,33.94735438,-103.23759
366,33.99250899,-102.5536461
367,34.03319357,-101.8688934
368,34.06939955,-101.1834152
369,34.10111931,-100.4972951
370,34.12834615,-99.81061716
371,34.1510743,-99.12346609
372,34.16929898,-98.43592676
373,34.18301632,-97.74808438
374,34.19222342,-97.0600244
375,34.19691834,-96.37183239
376,34.19710008,-95.68359407
377,34.19276861,-94.99539516
378,34.18392483,-94.30732137
379,34.17057062,-93.6194583
380,34.15270882,-92.93189141
381,34.13034318,-92.24470592
382,34.10347845,-91.55798679
383,34.07212029,-90.8718186
384,34.03627533,-90.18628556
385,33.99595112,-89.50147138
386,33.95115618,-88.81745925
387,33.90189991,-88.13433178
388,33.84819269,-87.45217093
389,33.79004579,-86.77105793
390,33.72747142,-86.09107328
391,33.66048266,-85.41229666
392,33.58909354,-84.73480686
393,33.51331896,-84.05868178
394,33.43317471,-83.38399833
395,33.34867745,-82.71083241
396,33.25984475,-82.03925884
397,33.16669499,-81.36935137
398,33.06924743,-80.70118255
399,32.96752218,-80.03482377
400,32.68055345,-116.7836285
401,32.81308012,-116.1273908
402,32.9414595,-115.4688239
403,33.06566548,-114.8079909
404,33.18567274,-114.1449563
405,33.30145676,-113.4797863
406,33.41299378,-112.8125481
407,33.5202609,-112.1433107
408,33.62323598,-111.4721442
409,33.72189777,-110.7991201
410,33.81622581,-110.1243112
411,33.90620054,-109.4477914
412,33.99180323,-108.7696362
413,34.07301602,-108.0899217
414,34.14982197,-107.4087255
415,34.22220498,-106.7261261
416,34.29014988,-106.0422031
417,34.3536424,-105.357037
418,34.41266918,-104.6707093
419,34.46721779,-103.9833021
420,34.51727672,-103.2948986
421,34.56283539,-102.6055826
422,34.60388417,-101.9154385
423,34.64041437,-101.2245516
424,34.67241824,-100.5330073
425,34.69988901,-99.84089197
426,34.72282084,-99.14829207
427,34.74120885,-98.4552946
428,34.75504916,-97.7619868
429,34.7643388,-97.06845615
430,34.76907581,-96.37479032
431,34.76925918,-95.68107705
432,34.76488887,-94.98740415
433,34.75596581,-94.29385937
434,34.7424919,-93.60053038
435,34.72447,-92.90750468
436,34.70190394,-92.21486954
437,34.67479851,-91.52271195
438,34.64315947,-90.83111852
439,34.60699352,-90.14017543
440,34.56630833,-89.44996839
441,34.52111252,-88.76058256
442,34.47141564,-88.07210247
443,34.41722819,-87.38461198
444,34.35856161,-86.69819423
445,34.29542826,-86.01293157
446,34.22784141,-85.32890547
447,34.15581527,-84.64619654
448,34.07936494,-83.96488442
449,33.99850644,-83.28504772
450,33.91325664,-82.60676402
451,33.82363333,-81.93010978
452,33.72965516,-81.25516033
453,33.63134165,-80.58198977
454,33.52871316,-79.910671
455,33.42179089,-79.2412756
456,33.23475446,-116.9439784
457,33.36844594,-116.2830533
458,33.49795484,-115.6197466
459,33.62325475,-114.9541225
460,33.74432001,-114.2862468
461,33.86112576,-113.6161868
462,33.97364796,-112.9440112
463,34.08186337,-112.2697904
464,34.1857496,-111.5935958
465,34.28528508,-110.9155004
466,34.38044911,-110.2355787
467,34.47122185,-109.5539062
468,34.55758431,-108.8705596
469,34.63951843,-108.1856172
470,34.71700699,-107.4991581
471,34.79003371,-106.8112625
472,34.85858321,-106.1220119
473,34.92264101,-105.4314886
474,34.98219359,-104.7397759
475,35.03722834,-104.046958
476,35.08773359,-103.3531198
477,35.13369862,-102.6583472
478,35.17511366,-101.9627267
479,35.21196991,-101.2663453
480,35.24425953,-100.5692908
481,35.27197562,-99.87165136
482,35.29511228,-99.17351569
483,35.31366457,-98.47497281
484,35.32762854,-97.77611209
485,35.3370012,-97.07702312
486,35.34178054,-96.37779568
487,35.34196555,-95.67851967
488,35.33755618,-94.97928499
489,35.32855339,-94.28018155
490,35.31495908,-93.58129912
491,35.29677618,-92.88272733
492,35.27400854,-92.18455557
493,35.24666105,-91.48687289
494,35.21473952,-90.789768
495,35.17825076,-90.09332916
496,35.13720255,-89.3976441
497,35.0916036,-88.70280001
498,35.04146361,-88.00888342
499,34.98679323,-87.31598017
500,34.92760404,-86.62417532
501,34.86390857,-85.93355313
502,34.79572029,-85.24419696
503,34.72305358,-84.55618925
504,34.64592376,-83.86961144
505,34.56434704,-83.18454392
506,34.47834055,-82.50106597
507,34.38792231,-81.81925575
508,34.29311121,-81.13919019
509,34.19392702,-80.46094501
510,34.09039039,-79.78459462
511,33.98252281,-79.11021212
512,33.87034661,-78.43786923
513,33.65029719,-117.7699484
514,33.78934993,-117.1067729
515,33.92421224,-116.4410978
516,34.05485656,-115.772987
517,34.18125613,-115.102506
518,34.30338496,-114.4297218
519,34.42121787,-113.7547031
520,34.53473049,-113.0775199
521,34.64389928,-112.398244
522,34.74870156,-111.7169483
523,34.84911546,-111.0337075
524,34.94512002,-110.3485973
525,35.03669512,-109.661695
526,35.12382153,-108.9730792
527,35.20648093,-108.2828297
528,35.28465589,-107.5910273
529,35.3583299,-106.8977542
530,35.42748736,-106.2030936
531,35.49211361,-105.5071297
532,35.55219493,-104.8099479
533,35.60771854,-104.1116342
534,35.65867262,-103.4122756
535,35.7050463,-102.7119599
536,35.74682969,-102.0107757
537,35.78401384,-101.3088122
538,35.81659081,-100.6061592
539,35.84455363,-99.90290707
540,35.86789629,-99.19914656
541,35.8866138,-98.49496891
542,35.90070213,-97.79046565
543,35.91015827,-97.08572857
544,35.91498019,-96.38084964
545,35.91516685,-95.67592094
546,35.9107182,-94.97103459
547,35.90163522,-94.26628268
548,35.88791983,-93.56175719
549,35.869575,-92.85754992
550,35.84660465,-92.15375243
551,35.81901371,-91.45045597
552,35.78680809,-90.74775136
553,35.7499947,-90.045729
554,35.70858139,-89.34447875
555,35.66257703,-88.64408985
556,35.61199144,-87.94465092
557,35.55683541,-87.24624981
558,35.49712068,-86.5489736
559,35.43285996,-85.8529085
560,35.36406689,-85.15813983
561,35.29075606,-84.46475189
562,35.21294299,-83.772828
563,35.13064411,-83.08245035
564,35.04387678,-82.39370001
565,34.95265925,-81.70665684
566,34.85701068,-81.02139947
567,34.75695112,-80.33800523
568,34.65250146,-79.65655013
569,34.54368349,-78.9771088
